,Suggestion,Config,Worker,Performance
0,0,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",9,65440.0
1,1,"{'aio': 'on', 'aio_write': 'off', 'client_body_in_file_only': 'clean', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '335s', 'client_header_buffer_size': 50729, 'client_header_timeout': '44s', 'client_max_body_size': '5631k', 'connection_pool_size': 64, 'directio': '24833k', 'directio_alignment': 25088, 'large_client_header_buffers': '37 1958k', 'limit_rate': '58226m', 'limit_rate_after': '46467m', 'lingering_close': 'on', 'lingering_time': 232, 'lingering_timeout': 198, 'msie_padding': 'on', 'msie_refresh': 'on', 'open_file_cache': 'inactive=149 max=12357', 'open_file_cache_errors': 'on', 'open_file_cache_min_uses': 3278, 'open_file_cache_valid': '297s', 'output_buffers': '5 2793k', 'postpone_output': 22489, 'request_pool_size': '3k', 'sendfile': 'on', 'server_tokens': 'on', 'tcp_nodelay': 'off', 'tcp_nopush': 'off'}",9,1000000.0
2,2,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '60s', 'client_header_buffer_size': 1024, 'client_header_timeout': '60s', 'client_max_body_size': '1024k', 'connection_pool_size': 512, 'directio_alignment': 512, 'large_client_header_buffers': '4 8k', 'limit_rate': '0m', 'limit_rate_after': '0m', 'lingering_close': 'on', 'lingering_time': 30, 'lingering_timeout': 5, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 1, 'open_file_cache_valid': '60s', 'output_buffers': '2 32k', 'postpone_output': 1460, 'request_pool_size': '4k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",9,66928.0
3,3,"{'aio': 'threads', 'aio_write': 'on', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'on', 'client_body_timeout': '37s', 'client_header_buffer_size': 1777, 'client_header_timeout': '445s', 'client_max_body_size': '11020k', 'connection_pool_size': 2224, 'directio': '4234k', 'directio_alignment': 6656, 'large_client_header_buffers': '107 14998k', 'limit_rate': '8362m', 'limit_rate_after': '8856m', 'lingering_close': 'on', 'lingering_time': 134, 'lingering_timeout': 40, 'msie_padding': 'off', 'msie_refresh': 'off', 'open_file_cache': 'inactive=4 max=3756', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 9715, 'open_file_cache_valid': '21s', 'output_buffers': '74 10208k', 'postpone_output': 40551, 'request_pool_size': '42k', 'sendfile': 'off', 'server_tokens': 'build', 'tcp_nodelay': 'on', 'tcp_nopush': 'on'}",9,1000000.0
4,4,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'clean', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '279s', 'client_header_buffer_size': 30601, 'client_header_timeout': '154s', 'client_max_body_size': '11700k', 'connection_pool_size': 3472, 'directio_alignment': 15872, 'large_client_header_buffers': '74 5423k', 'limit_rate': '41326m', 'limit_rate_after': '0m', 'lingering_close': 'off', 'lingering_time': 47, 'lingering_timeout': 237, 'msie_padding': 'off', 'msie_refresh': 'on', 'open_file_cache': 'inactive=223', 'open_file_cache_errors': 'on', 'open_file_cache_min_uses': 4594, 'open_file_cache_valid': '218s', 'output_buffers': '118 7538k', 'postpone_output': 55820, 'request_pool_size': '18k', 'sendfile': 'off', 'server_tokens': 'off', 'tcp_nodelay': 'off', 'tcp_nopush': 'off'}",9,1000000.0
5,5,"{'aio': 'off', 'aio_write': 'on', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'on', 'client_body_timeout': '580s', 'client_header_buffer_size': 46927, 'client_header_timeout': '559s', 'client_max_body_size': '0k', 'connection_pool_size': 1312, 'directio': '20380k', 'directio_alignment': 17920, 'large_client_header_buffers': '3 10271k', 'limit_rate': '0m', 'limit_rate_after': '39920m', 'lingering_close': 'always', 'lingering_time': 173, 'lingering_timeout': 80, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache': 'inactive=76 max=10268', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 14543, 'open_file_cache_valid': '103s', 'output_buffers': '60 12359k', 'postpone_output': 0, 'request_pool_size': '58k', 'sendfile': 'on', 'server_tokens': 'off', 'tcp_nodelay': 'on', 'tcp_nopush': 'on'}",9,45761.0
6,6,"{'aio': 'off', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'on', 'client_body_timeout': '507s', 'client_header_buffer_size': 63381, 'client_header_timeout': '227s', 'client_max_body_size': '15226k', 'connection_pool_size': 3600, 'directio': '9371k', 'directio_alignment': 12288, 'large_client_header_buffers': '31 6597k', 'limit_rate': '18902m', 'limit_rate_after': '26399m', 'lingering_close': 'always', 'lingering_time': 212, 'lingering_timeout': 116, 'msie_padding': 'off', 'msie_refresh': 'on', 'open_file_cache': 'inactive=181 max=16030', 'open_file_cache_errors': 'on', 'open_file_cache_min_uses': 13618, 'open_file_cache_valid': '139s', 'output_buffers': '111 4993k', 'postpone_output': 26047, 'request_pool_size': '15k', 'sendfile': 'on', 'server_tokens': 'off', 'tcp_nodelay': 'off', 'tcp_nopush': 'on'}",9,1000000.0
7,7,"{'aio': 'threads', 'aio_write': 'on', 'client_body_in_file_only': 'clean', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '211s', 'client_header_buffer_size': 14164, 'client_header_timeout': '486s', 'client_max_body_size': '135k', 'connection_pool_size': 1696, 'directio': '29891k', 'directio_alignment': 22016, 'large_client_header_buffers': '87 9464k', 'limit_rate': '48324m', 'limit_rate_after': '0m', 'lingering_close': 'off', 'lingering_time': 2, 'lingering_timeout': 276, 'msie_padding': 'on', 'msie_refresh': 'off', 'open_file_cache': 'inactive=0 max=2634', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 7181, 'open_file_cache_valid': '182s', 'output_buffers': '36 15944k', 'postpone_output': 7946, 'request_pool_size': '38k', 'sendfile': 'off', 'server_tokens': 'off', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",9,54040.0
8,8,"{'aio': 'threads', 'aio_write': 'off', 'client_body_in_file_only': 'off', 'client_body_in_single_buffer': 'on', 'client_body_timeout': '76s', 'client_header_buffer_size': 17973, 'client_header_timeout': '121s', 'client_max_body_size': '2095k', 'connection_pool_size': 960, 'directio': '15327k', 'directio_alignment': 29184, 'large_client_header_buffers': '117 2894k', 'limit_rate': '2m', 'limit_rate_after': '15815m', 'lingering_close': 'on', 'lingering_time': 103, 'lingering_timeout': 1, 'msie_padding': 'on', 'msie_refresh': 'on', 'open_file_cache': 'inactive=297', 'open_file_cache_errors': 'on', 'open_file_cache_min_uses': 10254, 'open_file_cache_valid': '59s', 'output_buffers': '30 1255k', 'postpone_output': 0, 'request_pool_size': '30k', 'sendfile': 'off', 'server_tokens': 'on', 'tcp_nodelay': 'off', 'tcp_nopush': 'on'}",9,1000000.0
9,9,"{'aio': 'on', 'aio_write': 'on', 'client_body_in_file_only': 'clean', 'client_body_in_single_buffer': 'off', 'client_body_timeout': '380s', 'client_header_buffer_size': 34548, 'client_header_timeout': '368s', 'client_max_body_size': '6787k', 'connection_pool_size': 2864, 'directio_alignment': 3072, 'large_client_header_buffers': '61 13952k', 'limit_rate': '32024m', 'limit_rate_after': '59826m', 'lingering_close': 'on', 'lingering_time': 267, 'lingering_timeout': 162, 'msie_padding': 'off', 'msie_refresh': 'off', 'open_file_cache': 'inactive=44 max=6600', 'open_file_cache_errors': 'off', 'open_file_cache_min_uses': 305, 'open_file_cache_valid': '259s', 'output_buffers': '82 10706k', 'postpone_output': 51718, 'request_pool_size': '55k', 'sendfile': 'on', 'server_tokens': 'build', 'tcp_nodelay': 'on', 'tcp_nopush': 'off'}",9,50195.0
